Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
9,12,77,right,right,yes,65,3.693061381,2015-06-28T13:16:51.154,1
9,53,45,left,left,yes,8,1.504154893,2015-06-28T13:16:53.650,2
9,70,21,left,left,yes,49,2.628227782,2015-06-28T13:20:19.280,1
9,68,1,left,left,yes,67,0.090200851,2015-06-28T13:22:16.909,1
9,32,86,right,left,no,54,1.407398411,2015-06-28T13:22:18.407,2
9,51,25,left,left,yes,26,1.571941732,2015-06-28T13:22:20.081,3
9,97,76,left,left,yes,21,1.588868771,2015-06-28T13:22:21.771,4
9,15,90,right,left,no,75,0.723393036,2015-06-28T13:22:22.595,5
9,83,8,left,left,yes,75,0.946697981,2015-06-28T13:22:23.642,6
9,86,13,left,left,yes,73,1.045241118,2015-06-28T13:22:24.788,7
9,92,15,left,left,yes,77,1.09959811,2015-06-28T13:22:25.989,8
9,36,91,right,left,no,55,1.218976433,2015-06-28T13:22:27.310,9
9,71,15,left,left,yes,56,1.091316976,2015-06-28T13:22:28.502,10
9,88,63,left,left,yes,25,1.098721032,2015-06-28T13:22:29.703,11
9,76,14,left,left,yes,62,0.816170811,2015-06-28T13:22:30.621,12
9,77,89,right,left,no,12,0.889726433,2015-06-28T13:22:31.612,13
9,14,46,right,left,no,32,1.002149716,2015-06-28T13:22:32.714,14
