Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
2,35,40,right,left,no,5,2.280528796,2015-06-28T13:20:55.443,1
2,3,82,right,left,no,79,2.44892125,2015-06-28T13:20:57.981,2
2,92,22,left,left,yes,70,0.822016569,2015-06-28T13:20:58.905,3
2,41,74,right,left,no,33,1.627036393,2015-06-28T13:21:00.633,4
2,1,96,right,left,no,95,1.54551352,2015-06-28T13:21:02.280,5
2,27,94,right,left,no,67,1.361365743,2015-06-28T13:21:03.742,6
2,47,0,left,left,yes,47,0.515148081,2015-06-28T13:21:04.359,7
2,83,37,left,left,yes,46,0.533353318,2015-06-28T13:21:04.993,8
2,79,31,left,left,yes,48,0.115875572,2015-06-28T13:21:05.210,9
2,24,71,right,left,no,47,0.823298615,2015-06-28T13:21:06.136,10
2,8,83,right,left,no,75,0.638942153,2015-06-28T13:21:06.876,11
2,88,54,left,left,yes,34,1.034907768,2015-06-28T13:21:08.013,12
2,42,64,right,left,no,22,1.109618431,2015-06-28T13:21:09.222,13
2,51,29,left,left,yes,22,1.051441383,2015-06-28T13:21:10.375,14
2,65,35,left,left,yes,30,0.869804674,2015-06-28T13:21:11.346,15
2,41,62,right,left,no,21,0.998649104,2015-06-28T13:21:12.447,16
2,21,41,right,left,no,20,2.128098209,2015-06-28T13:21:18.736,1
2,27,10,left,left,yes,17,3.669801082,2015-06-28T13:21:25.783,1
